vec_size,value_type,encrypt_ms,total_ms,ciphertext_bytes,result
8,CONST,312.526,425.411,394461,
32,CONST,341.7,488.184,394461,
128,CONST,364.486,505.581,394461,
512,CONST,393.836,517.674,394461,
